"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","ÅãC","%"
"2019-11-07 03:19:38","43776.1386342593","13.4","51"
"2019-11-07 03:24:38","43776.1421064815","14.1","58"
"2019-11-07 03:29:38","43776.1455787037","14.8","61"
"2019-11-07 03:34:38","43776.1490509259","15.2","64"
"2019-11-07 03:39:38","43776.1525231482","15.5","65"
"2019-11-07 03:44:38","43776.1559953704","15.7","67"
"2019-11-07 03:49:38","43776.1594675926","15.9","68"
"2019-11-07 03:54:38","43776.1629398148","16.1","68"
"2019-11-07 03:59:38","43776.1664120370","16.2","68"
"2019-11-07 04:04:38","43776.1698842593","16.3","69"
"2019-11-07 04:09:38","43776.1733564815","16.4","70"
"2019-11-07 04:14:38","43776.1768287037","16.6","70"
"2019-11-07 04:19:38","43776.1803009259","16.7","71"
"2019-11-07 04:24:38","43776.1837731482","16.8","71"
"2019-11-07 04:29:38","43776.1872453704","15.7","63"
"2019-11-07 04:34:38","43776.1907175926","13.8","52"
"2019-11-07 04:39:38","43776.1941898148","13.8","55"
"2019-11-07 04:44:38","43776.1976620370","14.6","60"
"2019-11-07 04:49:38","43776.2011342593","15.1","63"
"2019-11-07 04:54:38","43776.2046064815","15.4","64"
"2019-11-07 04:59:38","43776.2080787037","15.6","65"
"2019-11-07 05:04:38","43776.2115509259","15.8","67"
"2019-11-07 05:09:38","43776.2150231482","16.0","68"
"2019-11-07 05:14:38","43776.2184953704","16.1","69"
"2019-11-07 05:19:38","43776.2219675926","16.2","69"
"2019-11-07 05:24:38","43776.2254398148","16.3","69"
"2019-11-07 05:29:38","43776.2289120370","16.5","70"
"2019-11-07 05:34:38","43776.2323842593","16.6","70"
"2019-11-07 05:39:38","43776.2358564815","16.7","71"
"2019-11-07 05:44:38","43776.2393287037","16.6","70"
"2019-11-07 05:49:38","43776.2428009259","14.6","55"
"2019-11-07 05:54:38","43776.2462731482","13.5","52"
"2019-11-07 05:59:38","43776.2497453704","14.2","59"
"2019-11-07 06:04:38","43776.2532175926","14.8","62"
"2019-11-07 06:09:38","43776.2566898148","15.2","64"
"2019-11-07 06:14:38","43776.2601620370","15.5","65"
"2019-11-07 06:19:38","43776.2636342593","15.7","66"
"2019-11-07 06:24:38","43776.2671064815","15.8","68"
"2019-11-07 06:29:38","43776.2705787037","16.0","68"
"2019-11-07 06:34:38","43776.2740509259","16.1","69"
"2019-11-07 06:39:38","43776.2775231482","16.2","69"
"2019-11-07 06:44:38","43776.2809953704","16.3","69"
"2019-11-07 06:49:38","43776.2844675926","16.4","70"
"2019-11-07 06:54:38","43776.2879398148","16.6","70"
"2019-11-07 06:59:38","43776.2914120370","16.7","71"
"2019-11-07 07:04:38","43776.2948842593","16.3","68"
"2019-11-07 07:09:38","43776.2983564815","14.3","54"
"2019-11-07 07:14:38","43776.3018287037","13.3","52"
"2019-11-07 07:19:38","43776.3053009259","14.1","58"
"2019-11-07 07:24:38","43776.3087731482","14.7","69"
"2019-11-07 07:29:38","43776.3122453704","15.3","75"
"2019-11-07 07:34:38","43776.3157175926","15.6","77"
"2019-11-07 07:39:38","43776.3191898148","15.9","77"
"2019-11-07 07:44:38","43776.3226620370","16.2","77"
"2019-11-07 07:49:38","43776.3261342593","16.4","77"
"2019-11-07 07:54:38","43776.3296064815","16.6","76"
"2019-11-07 07:59:38","43776.3330787037","14.6","59"
"2019-11-07 08:04:38","43776.3365509259","13.2","52"
"2019-11-07 08:09:38","43776.3400231482","13.9","60"
"2019-11-07 08:14:38","43776.3434953704","14.5","64"
"2019-11-07 08:19:38","43776.3469675926","15.0","66"
"2019-11-07 08:24:38","43776.3504398148","15.3","68"
"2019-11-07 08:29:38","43776.3539120370","15.5","69"
"2019-11-07 08:34:38","43776.3573842593","15.7","70"
"2019-11-07 08:39:38","43776.3608564815","15.8","70"
"2019-11-07 08:44:38","43776.3643287037","16.0","70"
"2019-11-07 08:49:38","43776.3678009259","16.1","72"
"2019-11-07 08:54:38","43776.3712731482","16.2","72"
"2019-11-07 08:59:38","43776.3747453704","16.3","73"
"2019-11-07 09:04:38","43776.3782175926","16.4","73"
"2019-11-07 09:09:38","43776.3816898148","16.5","73"
"2019-11-07 09:14:38","43776.3851620370","16.6","73"
"2019-11-07 09:19:38","43776.3886342593","16.2","70"
"2019-11-07 09:24:38","43776.3921064815","14.1","55"
"2019-11-07 09:29:38","43776.3955787037","13.3","54"
"2019-11-07 09:34:38","43776.3990509259","14.0","60"
"2019-11-07 09:39:38","43776.4025231482","14.6","64"
"2019-11-07 09:44:38","43776.4059953704","15.0","65"
"2019-11-07 09:49:38","43776.4094675926","15.3","67"
"2019-11-07 09:54:38","43776.4129398148","15.5","67"
"2019-11-07 09:59:38","43776.4164120370","15.7","69"
"2019-11-07 10:04:38","43776.4198842593","15.8","69"
"2019-11-07 10:09:38","43776.4233564815","16.0","70"
"2019-11-07 10:14:38","43776.4268287037","16.1","71"
"2019-11-07 10:19:38","43776.4303009259","16.2","71"
"2019-11-07 10:24:38","43776.4337731482","16.3","71"
